Department,EducationField,JobRole,MaritalStatus,Gender,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,JobLevel,DistanceFromHome,Age
Research & Development,Life Sciences,Laboratory Technician,Married,Male,4447,9,9,8,2,4,45
Sales,Technical Degree,Sales Representative,Married,Female,2157,3,3,2,1,20,29
Sales,Medical,Sales Executive,Married,Female,4601,5,5,0,2,18,35
Research & Development,Life Sciences,Manager,Married,Male,17099,26,9,8,4,1,52
Research & Development,Technical Degree,Research Scientist,Single,Male,2479,7,1,0,1,2,58
Sales,Medical,Manager,Divorced,Male,14852,22,17,2,4,2,53
Sales,Other,Sales Executive,Divorced,Male,7264,10,8,7,3,8,30
Sales,Technical Degree,Sales Executive,Single,Female,5666,6,5,3,2,10,38
Sales,Life Sciences,Sales Executive,Divorced,Male,7823,12,10,8,3,3,35
Sales,Life Sciences,Sales Executive,Single,Male,7880,9,8,7,3,2,39
Sales,Life Sciences,Sales Executive,Single,Female,13194,22,1,0,4,24,40
Research & Development,Medical,Manufacturing Director,Divorced,Male,5067,20,19,7,2,16,47
Sales,Technical Degree,Sales Executive,Divorced,Male,5079,12,7,7,2,8,36
Research & Development,Medical,Research Scientist,Single,Male,2321,4,3,2,1,9,31
Sales,Life Sciences,Manager,Single,Male,17444,10,10,0,4,17,33
Research & Development,Life Sciences,Research Scientist,Single,Female,2404,3,0,0,1,10,29
Research & Development,Life Sciences,Research Scientist,Single,Female,3452,5,3,2,1,13,33
Research & Development,Medical,Laboratory Technician,Divorced,Female,2270,8,5,2,1,1,45
Research & Development,Medical,Research Director,Divorced,Male,17399,32,5,3,4,1,50
Research & Development,Other,Healthcare Representative,Married,Female,5488,6,6,2,2,1,33
Research & Development,Medical,Research Director,Divorced,Male,19419,21,18,11,5,9,41
Research & Development,Technical Degree,Laboratory Technician,Married,Female,2811,4,2,2,1,16,27
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3633,9,9,8,2,23,45
Sales,Life Sciences,Sales Executive,Single,Female,4163,9,9,7,2,4,47
Research & Development,Life Sciences,Research Scientist,Married,Female,2132,7,5,1,1,22,30
Research & Development,Life Sciences,Manufacturing Director,Married,Male,13973,22,12,5,4,24,50
Research & Development,Medical,Research Scientist,Married,Male,2684,3,2,2,1,10,38
Research & Development,Medical,Manufacturing Director,Divorced,Male,10845,13,8,7,3,7,46
Research & Development,Medical,Manufacturing Director,Divorced,Female,4377,5,4,2,2,17,24
Research & Development,Other,Laboratory Technician,Divorced,Male,3743,5,4,2,1,14,35
Research & Development,Life Sciences,Manufacturing Director,Married,Female,4148,4,4,3,2,1,31
Research & Development,Life Sciences,Research Scientist,Single,Male,1051,0,0,0,1,5,18
Research & Development,Technical Degree,Manufacturing Director,Married,Female,10739,22,10,8,3,17,54
Research & Development,Medical,Healthcare Representative,Divorced,Female,10388,16,16,1,3,25,35
Research & Development,Life Sciences,Research Director,Married,Female,11416,9,8,7,3,8,30
Research & Development,Medical,Research Scientist,Single,Female,2600,1,1,0,1,11,20
Research & Development,Medical,Laboratory Technician,Single,Female,2422,4,3,2,1,5,30
Research & Development,Medical,Manufacturing Director,Married,Male,5472,8,8,3,2,2,26
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2451,4,4,1,1,8,22
Research & Development,Life Sciences,Healthcare Representative,Single,Male,4240,19,2,2,2,6,48
Research & Development,Life Sciences,Healthcare Representative,Single,Male,10999,27,15,8,3,4,48
Research & Development,Medical,Manufacturing Director,Single,Female,5003,8,2,1,2,7,41
Research & Development,Life Sciences,Manufacturing Director,Married,Female,12742,21,21,8,4,1,39
Research & Development,Life Sciences,Manufacturing Director,Married,Female,4227,4,3,2,2,2,27
Research & Development,Other,Laboratory Technician,Divorced,Male,3917,3,3,2,1,10,35
Sales,Marketing,Manager,Married,Male,18303,21,1,0,5,5,42
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2380,8,1,0,1,9,50
Research & Development,Life Sciences,Manufacturing Director,Single,Female,13726,30,5,3,4,2,59
Research & Development,Medical,Healthcare Representative,Married,Female,4777,15,1,0,2,11,37
Research & Development,Medical,Healthcare Representative,Married,Male,6385,17,8,7,2,18,55
Research & Development,Life Sciences,Research Director,Divorced,Female,19973,21,21,10,5,7,41
Sales,Life Sciences,Sales Executive,Single,Male,6861,19,1,0,2,3,38
Sales,Medical,Sales Executive,Single,Male,4969,7,2,2,2,29,26
Sales,Marketing,Manager,Married,Female,19845,33,32,9,5,2,52
Sales,Medical,Sales Executive,Married,Female,13320,23,12,11,4,28,44
Sales,Life Sciences,Sales Executive,Married,Female,6347,19,18,13,2,1,50
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2743,18,17,14,1,16,36
Research & Development,Medical,Manufacturing Director,Single,Female,10880,21,21,8,3,22,39
Sales,Life Sciences,Sales Representative,Single,Female,2342,3,2,2,1,8,33
Sales,Life Sciences,Manager,Married,Female,17650,26,9,1,4,11,45
Research & Development,Medical,Laboratory Technician,Single,Female,4025,10,8,7,1,29,32
Sales,Marketing,Sales Executive,Divorced,Male,9725,16,15,9,2,1,34
Sales,Technical Degree,Manager,Married,Male,11904,14,6,4,3,1,59
Human Resources,Medical,Human Resources,Single,Male,2177,6,6,4,1,24,45
Sales,Marketing,Sales Executive,Married,Female,7525,30,15,12,3,2,53
Research & Development,Other,Laboratory Technician,Divorced,Male,4834,9,1,0,2,15,36
Research & Development,Life Sciences,Research Scientist,Married,Male,2042,6,3,2,1,2,26
Sales,Life Sciences,Sales Representative,Married,Female,2220,1,1,0,1,10,34
Sales,Medical,Sales Representative,Married,Male,1052,1,1,0,1,10,28
Research & Development,Other,Research Scientist,Married,Male,2821,8,2,2,1,3,38
Research & Development,Medical,Research Director,Married,Male,19237,29,8,7,5,2,50
Research & Development,Other,Healthcare Representative,Single,Female,4107,8,4,1,2,3,37
Sales,Marketing,Sales Executive,Married,Male,8396,8,7,5,2,26,40
Research & Development,Medical,Research Scientist,Divorced,Female,2007,5,5,3,1,1,26
Research & Development,Medical,Research Director,Divorced,Male,19627,23,2,2,5,1,46
Sales,Life Sciences,Sales Executive,Married,Female,10686,13,9,0,3,2,54
Research & Development,Medical,Research Scientist,Married,Female,2942,18,5,3,1,9,56
Research & Development,Medical,Manufacturing Director,Single,Female,8858,15,14,8,3,12,36
Research & Development,Medical,Manager,Single,Male,16756,31,9,2,4,2,55
Sales,Medical,Sales Executive,Divorced,Male,10798,18,1,0,3,25,43
Sales,Marketing,Sales Representative,Single,Female,2323,2,2,2,1,9,20
Research & Development,Life Sciences,Laboratory Technician,Single,Female,1416,1,1,0,1,10,21
Research & Development,Life Sciences,Research Scientist,Divorced,Female,4615,19,16,7,2,8,46
Research & Development,Life Sciences,Research Scientist,Married,Male,2461,18,10,7,1,4,51
Research & Development,Technical Degree,Healthcare Representative,Single,Male,8722,10,10,9,3,24,28
Research & Development,Medical,Laboratory Technician,Married,Male,3955,6,5,3,1,1,26
Research & Development,Other,Manufacturing Director,Married,Male,9957,7,6,2,2,20,30
Research & Development,Technical Degree,Research Scientist,Married,Female,3376,10,10,8,1,7,41
Research & Development,Life Sciences,Healthcare Representative,Married,Female,8823,20,19,9,3,17,38
Research & Development,Technical Degree,Healthcare Representative,Married,Male,10322,14,11,1,3,20,40
Research & Development,Life Sciences,Laboratory Technician,Married,Male,4621,3,3,2,1,8,27
Research & Development,Life Sciences,Manufacturing Director,Married,Male,10976,23,3,2,3,2,55
Research & Development,Other,Research Scientist,Single,Female,3660,10,8,7,2,10,28
Human Resources,Medical,Human Resources,Married,Male,10482,24,20,6,3,1,44
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,7119,9,3,2,3,5,33
Sales,Technical Degree,Sales Executive,Single,Male,9582,9,8,7,3,4,35
Research & Development,Medical,Research Scientist,Single,Female,4508,14,13,8,2,29,33
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2207,4,4,2,1,15,28
Research & Development,Life Sciences,Healthcare Representative,Single,Male,7756,7,6,4,2,3,34
Sales,Life Sciences,Sales Executive,Divorced,Female,6694,8,1,0,2,10,37
Research & Development,Technical Degree,Laboratory Technician,Married,Male,3691,7,7,6,1,4,25
Research & Development,Medical,Laboratory Technician,Divorced,Male,2377,1,1,0,1,21,26
Research & Development,Medical,Research Scientist,Single,Male,2313,5,2,2,1,25,33
Research & Development,Medical,Manager,Married,Male,17665,23,22,7,4,2,42
Research & Development,Medical,Laboratory Technician,Divorced,Male,2596,1,1,0,1,1,28
Sales,Other,Sales Executive,Single,Male,4728,5,0,0,2,1,50
Sales,Life Sciences,Sales Executive,Married,Female,4302,4,3,2,2,7,33
Research & Development,Life Sciences,Research Scientist,Married,Male,2979,6,0,0,1,3,34
Research & Development,Medical,Manager,Single,Male,16885,27,5,1,4,1,48
Sales,Life Sciences,Sales Executive,Married,Female,5593,15,15,12,2,9,45
Research & Development,Life Sciences,Healthcare Representative,Single,Male,10445,18,8,0,3,7,52
Sales,Marketing,Sales Executive,Divorced,Male,8740,9,8,7,3,10,38
Research & Development,Life Sciences,Research Scientist,Divorced,Female,2514,11,7,7,1,28,29
Research & Development,Medical,Manufacturing Director,Divorced,Female,7655,10,9,7,3,3,28
Sales,Marketing,Manager,Married,Male,17465,23,12,9,4,3,46
Sales,Marketing,Sales Executive,Single,Male,7351,10,1,0,3,2,38
Research & Development,Life Sciences,Manufacturing Director,Married,Female,10820,18,8,1,3,27,43
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,12169,21,18,5,4,2,39
Research & Development,Medical,Research Director,Single,Male,19626,21,20,9,5,14,40
Research & Development,Technical Degree,Research Scientist,Single,Female,2070,2,2,2,1,1,21
Research & Development,Life Sciences,Laboratory Technician,Single,Male,6782,9,5,3,2,9,39
Research & Development,Life Sciences,Manufacturing Director,Single,Male,7779,18,11,9,2,18,36
Sales,Life Sciences,Sales Representative,Married,Male,2791,3,2,2,1,20,31
Research & Development,Life Sciences,Research Scientist,Married,Male,3201,6,5,4,1,2,28
Sales,Marketing,Sales Executive,Divorced,Male,4968,5,5,2,2,11,35
Sales,Technical Degree,Sales Executive,Married,Male,13120,22,9,3,4,8,49
Research & Development,Life Sciences,Manufacturing Director,Single,Male,4033,5,3,2,2,2,34
Research & Development,Life Sciences,Research Scientist,Divorced,Female,3291,8,7,1,1,10,29
Research & Development,Medical,Laboratory Technician,Single,Male,4272,16,1,0,2,29,42
Research & Development,Medical,Manufacturing Director,Married,Male,5056,10,10,2,2,8,29
Human Resources,Human Resources,Human Resources,Married,Male,2844,7,7,0,1,1,38
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2703,3,3,2,1,6,28
Research & Development,Medical,Laboratory Technician,Single,Male,1904,0,0,0,1,8,18
Sales,Marketing,Sales Executive,Single,Female,8224,6,5,3,2,9,33
Research & Development,Life Sciences,Laboratory Technician,Married,Male,4766,6,1,0,1,12,41
Research & Development,Medical,Laboratory Technician,Married,Male,2610,2,2,2,1,15,31
Research & Development,Medical,Healthcare Representative,Divorced,Female,5731,9,6,3,2,25,37
Research & Development,Life Sciences,Research Scientist,Married,Male,2539,4,4,2,1,6,27
Sales,Life Sciences,Sales Executive,Married,Female,5714,6,6,3,2,9,34
Human Resources,Technical Degree,Human Resources,Single,Male,4323,6,5,4,1,8,35
Sales,Life Sciences,Sales Executive,Married,Female,7336,11,11,10,3,23,29
Research & Development,Medical,Research Director,Single,Female,13499,20,18,13,3,9,40
Sales,Life Sciences,Sales Executive,Single,Male,13758,22,21,14,4,12,42
Sales,Marketing,Sales Executive,Single,Male,5155,9,6,5,2,4,42
Research & Development,Medical,Laboratory Technician,Married,Male,2258,10,8,7,1,1,35
Research & Development,Medical,Laboratory Technician,Single,Male,3597,6,4,2,1,24,24
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2515,1,1,0,1,12,28
Research & Development,Medical,Laboratory Technician,Married,Male,4420,8,8,7,1,3,26
Sales,Marketing,Sales Executive,Married,Male,6578,10,10,4,2,10,30
Research & Development,Medical,Research Scientist,Married,Female,4422,16,1,0,2,26,40
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,10274,15,7,4,3,2,35
Research & Development,Medical,Healthcare Representative,Single,Male,5343,14,13,9,2,1,34
Research & Development,Other,Laboratory Technician,Married,Male,2376,2,2,2,1,4,35
Sales,Marketing,Sales Executive,Single,Female,5346,7,4,3,2,9,43
Sales,Life Sciences,Sales Representative,Divorced,Female,2827,1,1,0,1,2,32
Research & Development,Technical Degree,Manager,Divorced,Female,19943,28,5,2,5,4,56
Research & Development,Medical,Laboratory Technician,Married,Female,3131,10,10,8,1,6,29
Research & Development,Life Sciences,Research Scientist,Single,Male,2552,1,1,0,1,9,19
Research & Development,Medical,Research Scientist,Married,Female,4477,7,3,2,1,7,45
Research & Development,Life Sciences,Manufacturing Director,Married,Female,6474,14,14,11,2,1,37
Research & Development,Life Sciences,Laboratory Technician,Single,Male,3033,2,2,2,1,3,20
Research & Development,Life Sciences,Research Scientist,Single,Male,2936,6,6,2,1,10,44
Research & Development,Medical,Manager,Divorced,Female,18606,26,7,7,5,7,53
Research & Development,Life Sciences,Research Scientist,Married,Female,2168,6,5,3,1,15,29
Research & Development,Life Sciences,Research Scientist,Married,Male,2853,1,0,0,1,3,22
Sales,Marketing,Manager,Married,Female,17048,28,26,9,4,2,46
Research & Development,Life Sciences,Research Scientist,Single,Male,2290,6,0,0,1,17,44
Human Resources,Human Resources,Human Resources,Married,Male,3600,5,5,4,1,2,33
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2107,5,1,0,1,5,41
Sales,Life Sciences,Sales Executive,Divorced,Male,4115,8,4,3,2,29,30
Sales,Medical,Sales Executive,Married,Male,4327,5,0,0,2,2,40
Research & Development,Medical,Manager,Married,Female,17856,32,2,2,4,2,50
Research & Development,Medical,Laboratory Technician,Married,Male,3196,6,6,3,1,19,28
Research & Development,Life Sciences,Research Director,Married,Male,19081,25,4,3,5,15,46
Sales,Life Sciences,Sales Executive,Married,Male,8966,15,7,7,2,17,35
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2210,1,1,0,1,17,24
Sales,Medical,Sales Executive,Married,Female,4539,10,10,1,2,25,33
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2741,7,7,7,1,6,36
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,3491,10,10,9,2,7,30
Research & Development,Other,Research Scientist,Single,Male,4541,20,20,17,2,29,44
Sales,Marketing,Sales Representative,Single,Male,2678,2,2,2,1,21,20
Research & Development,Technical Degree,Manufacturing Director,Divorced,Male,7379,12,6,4,2,2,46
Human Resources,Medical,Human Resources,Married,Male,6272,10,4,3,2,2,42
Sales,Marketing,Sales Executive,Divorced,Male,5220,12,11,9,2,7,60
Research & Development,Other,Laboratory Technician,Married,Female,2743,2,2,2,1,13,32
Research & Development,Life Sciences,Research Scientist,Single,Female,4998,10,8,7,2,2,32
Research & Development,Technical Degree,Manufacturing Director,Divorced,Female,10252,17,7,7,3,1,36
Research & Development,Medical,Research Scientist,Married,Male,2781,15,14,10,1,9,33
Sales,Technical Degree,Sales Executive,Divorced,Female,6852,7,5,3,2,10,40
Sales,Life Sciences,Sales Executive,Single,Male,4950,5,4,1,2,10,25
Research & Development,Medical,Research Scientist,Married,Male,3579,12,11,7,1,1,30
Research & Development,Medical,Research Director,Married,Female,13191,20,1,0,3,26,42
Sales,Marketing,Sales Executive,Married,Female,10377,16,13,12,3,8,35
Research & Development,Life Sciences,Research Scientist,Married,Male,2235,9,9,8,1,14,27
Research & Development,Life Sciences,Manufacturing Director,Divorced,Female,10502,33,5,4,3,1,54
Research & Development,Life Sciences,Research Scientist,Married,Female,2011,10,10,7,1,2,44
Research & Development,Medical,Research Scientist,Single,Female,1859,1,1,0,1,10,19
Research & Development,Life Sciences,Research Scientist,Divorced,Female,3760,3,3,2,1,1,29
Research & Development,Life Sciences,Research Director,Married,Male,17779,36,10,9,4,3,54
Research & Development,Medical,Healthcare Representative,Married,Male,6833,6,6,1,2,11,31
Research & Development,Medical,Healthcare Representative,Single,Female,6812,10,10,8,2,24,31
Sales,Life Sciences,Sales Executive,Single,Female,5171,13,6,5,2,3,59
Research & Development,Life Sciences,Research Director,Married,Male,19740,25,8,7,5,3,43
Research & Development,Medical,Manager,Married,Male,18711,23,1,0,5,4,49
Research & Development,Technical Degree,Research Scientist,Married,Male,3692,12,11,7,1,3,36
Research & Development,Technical Degree,Laboratory Technician,Single,Male,2559,7,1,0,1,2,48
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2517,5,5,3,1,4,27
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,6623,6,6,0,2,7,29
Research & Development,Life Sciences,Research Director,Single,Male,18265,25,1,0,5,1,48
Research & Development,Life Sciences,Research Director,Divorced,Female,16124,9,7,7,4,1,29
Research & Development,Technical Degree,Research Scientist,Married,Female,2585,2,1,0,1,20,34
Sales,Marketing,Manager,Married,Male,18213,26,22,10,5,5,44
Sales,Marketing,Sales Executive,Divorced,Male,8380,10,9,8,3,10,33
Research & Development,Life Sciences,Research Scientist,Single,Female,2994,1,1,1,1,25,19
Research & Development,Life Sciences,Research Scientist,Married,Male,1223,1,1,1,1,1,23
Sales,Life Sciences,Sales Representative,Single,Male,1118,1,1,0,1,24,25
Research & Development,Life Sciences,Research Scientist,Single,Male,2875,8,8,2,1,4,26
Sales,Marketing,Manager,Single,Female,18824,26,24,11,5,2,45
Research & Development,Medical,Healthcare Representative,Divorced,Male,13577,34,33,0,4,8,55
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2625,2,2,2,1,10,21
Sales,Marketing,Manager,Married,Female,18789,26,11,8,5,4,46
Sales,Marketing,Sales Executive,Single,Female,4538,4,3,2,2,2,34
Sales,Life Sciences,Manager,Divorced,Male,19847,31,29,10,5,9,51
Research & Development,Medical,Manufacturing Director,Single,Male,10512,25,9,4,3,18,59
Research & Development,Medical,Laboratory Technician,Divorced,Female,4444,15,11,10,2,19,34
Research & Development,Medical,Laboratory Technician,Single,Male,2154,5,4,2,1,1,28
Research & Development,Life Sciences,Manager,Divorced,Male,19190,26,25,13,5,4,44
Human Resources,Life Sciences,Human Resources,Married,Male,4490,14,10,8,2,11,34
Research & Development,Life Sciences,Research Scientist,Married,Male,3506,4,3,2,1,6,35
Research & Development,Medical,Research Scientist,Married,Female,2372,18,1,0,2,7,42
Sales,Marketing,Sales Executive,Single,Female,10231,23,21,17,3,4,43
Research & Development,Life Sciences,Manufacturing Director,Single,Female,5410,18,16,12,2,2,36
Research & Development,Medical,Healthcare Representative,Married,Female,7978,10,10,5,3,15,44
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3867,2,2,2,1,2,28
Research & Development,Medical,Laboratory Technician,Single,Female,2838,8,7,7,1,6,51
Research & Development,Medical,Manufacturing Director,Single,Female,4695,10,8,7,2,9,30
Research & Development,Technical Degree,Laboratory Technician,Divorced,Female,3339,10,7,7,1,7,29
Research & Development,Technical Degree,Research Scientist,Single,Male,2080,5,3,2,1,1,28
Research & Development,Medical,Research Scientist,Single,Female,2096,2,2,1,1,1,25
Sales,Medical,Sales Executive,Married,Male,6209,10,10,8,2,8,32
Research & Development,Medical,Manager,Single,Female,18061,22,0,0,5,25,45
Research & Development,Medical,Manager,Divorced,Female,17123,21,19,2,4,13,39
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2372,2,2,2,1,23,58
Research & Development,Life Sciences,Laboratory Technician,Married,Male,4883,10,10,1,2,7,32
Research & Development,Medical,Research Scientist,Single,Male,3904,6,5,3,1,23,39
Research & Development,Technical Degree,Laboratory Technician,Married,Female,4627,10,9,7,2,6,30
Research & Development,Technical Degree,Healthcare Representative,Married,Female,7094,10,7,7,3,10,36
Human Resources,Life Sciences,Human Resources,Single,Female,3423,10,7,7,1,1,46
Research & Development,Life Sciences,Laboratory Technician,Married,Female,6674,10,9,5,2,1,28
Research & Development,Life Sciences,Research Director,Married,Female,16880,25,3,2,4,28,50
Sales,Marketing,Sales Executive,Single,Male,9094,9,5,0,3,25,40
Sales,Life Sciences,Sales Executive,Single,Male,8446,10,8,7,3,5,52
Research & Development,Medical,Manager,Married,Female,11916,9,9,8,3,17,30
Research & Development,Life Sciences,Manufacturing Director,Single,Male,4534,9,8,7,2,18,39
Sales,Life Sciences,Sales Executive,Divorced,Female,9852,10,10,6,3,2,31
Sales,Medical,Sales Executive,Single,Male,6151,19,19,9,2,10,41
Sales,Life Sciences,Sales Representative,Single,Female,2302,3,3,2,1,1,31
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2362,10,3,2,1,3,44
Research & Development,Life Sciences,Manager,Married,Male,17861,21,20,10,4,2,42
Research & Development,Medical,Manager,Married,Female,19187,23,19,11,5,2,55
Human Resources,Life Sciences,Manager,Single,Male,19717,36,7,7,5,8,56
Research & Development,Life Sciences,Research Scientist,Divorced,Male,3544,6,4,0,1,16,40
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,8500,10,9,6,3,9,34
Research & Development,Life Sciences,Research Scientist,Single,Male,4661,9,9,8,2,2,40
Sales,Marketing,Sales Executive,Divorced,Female,4103,10,9,7,2,1,41
Research & Development,Life Sciences,Research Scientist,Single,Male,4249,9,9,1,2,4,35
Human Resources,Life Sciences,Manager,Divorced,Male,14026,33,33,10,4,5,51
Sales,Life Sciences,Sales Executive,Divorced,Female,6893,11,7,7,2,2,38
Sales,Medical,Sales Executive,Single,Female,6125,10,10,6,2,15,34
Research & Development,Medical,Laboratory Technician,Married,Male,3669,7,3,2,1,19,25
Research & Development,Medical,Manufacturing Director,Married,Female,10008,31,10,9,3,7,58
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2387,7,4,3,1,1,40
Sales,Marketing,Sales Executive,Married,Female,4639,17,15,13,2,7,36
Research & Development,Life Sciences,Manufacturing Director,Single,Male,7898,11,10,8,3,4,48
Sales,Medical,Sales Representative,Married,Female,2534,5,1,0,1,11,27
Research & Development,Technical Degree,Manufacturing Director,Single,Female,13142,29,5,3,4,11,51
Research & Development,Life Sciences,Laboratory Technician,Single,Female,1611,0,0,0,1,1,18
Research & Development,Medical,Laboratory Technician,Married,Female,5363,10,9,0,2,1,35
Sales,Life Sciences,Sales Executive,Single,Male,5071,8,6,0,2,2,27
Sales,Marketing,Sales Executive,Single,Male,13695,24,19,8,4,13,55
Research & Development,Life Sciences,Manufacturing Director,Married,Male,13402,33,19,9,4,23,56
Research & Development,Technical Degree,Research Scientist,Divorced,Female,2029,5,5,0,1,26,34
Research & Development,Medical,Healthcare Representative,Divorced,Female,6377,15,12,8,2,2,40
Research & Development,Medical,Laboratory Technician,Married,Male,5429,10,8,7,2,29,34
Sales,Life Sciences,Sales Representative,Single,Female,2785,3,1,0,1,2,31
Sales,Marketing,Sales Executive,Married,Female,4614,5,4,2,2,18,35
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2610,4,4,3,1,7,38
Research & Development,Technical Degree,Healthcare Representative,Single,Female,6687,14,14,11,2,2,34
Sales,Life Sciences,Sales Executive,Married,Male,4724,5,5,4,2,26,28
Research & Development,Medical,Manufacturing Director,Married,Male,6179,10,10,7,2,22,31
Sales,Life Sciences,Sales Executive,Married,Male,6120,8,5,4,2,21,39
Sales,Marketing,Sales Executive,Married,Male,10596,14,4,2,3,2,51
Research & Development,Life Sciences,Research Scientist,Divorced,Female,5467,12,6,3,2,22,41
Research & Development,Life Sciences,Research Scientist,Married,Male,2996,8,6,3,1,4,37
Sales,Life Sciences,Sales Executive,Married,Male,9998,8,5,2,2,5,33
Sales,Marketing,Sales Executive,Married,Male,4078,4,3,2,2,2,32
Research & Development,Life Sciences,Healthcare Representative,Married,Male,10920,13,6,5,3,25,39
Sales,Life Sciences,Sales Executive,Married,Male,6232,6,3,2,2,18,25
Research & Development,Medical,Manufacturing Director,Married,Female,13247,24,5,2,4,28,52
Research & Development,Medical,Research Scientist,Single,Female,4081,20,20,8,2,6,43
Sales,Marketing,Sales Executive,Married,Female,5769,6,6,4,2,10,27
Research & Development,Life Sciences,Research Scientist,Single,Female,2394,8,8,7,1,17,27
Research & Development,Medical,Research Scientist,Single,Male,3904,5,4,1,1,2,26
Human Resources,Human Resources,Manager,Married,Female,16799,21,20,9,4,10,42
Research & Development,Other,Laboratory Technician,Married,Female,2950,12,5,4,1,8,52
Research & Development,Medical,Laboratory Technician,Single,Female,3629,8,3,2,1,11,37
Research & Development,Life Sciences,Manufacturing Director,Single,Male,9362,10,2,2,3,18,35
Research & Development,Technical Degree,Laboratory Technician,Married,Male,3229,7,3,2,1,1,25
Research & Development,Other,Laboratory Technician,Single,Male,3578,8,7,7,1,7,26
Human Resources,Other,Human Resources,Single,Male,7988,10,10,9,3,17,29
Research & Development,Life Sciences,Laboratory Technician,Single,Male,4284,20,4,3,2,28,49
Research & Development,Other,Healthcare Representative,Single,Female,7553,9,8,7,3,14,29
Research & Development,Medical,Research Director,Single,Female,17328,29,20,7,4,1,54
Research & Development,Medical,Research Director,Married,Female,19701,32,9,5,5,1,58
Research & Development,Medical,Research Director,Divorced,Male,14732,31,7,0,4,1,55
Sales,Marketing,Sales Executive,Single,Female,9278,15,5,1,2,3,36
Sales,Life Sciences,Sales Representative,Single,Female,1359,1,1,0,1,1,31
Sales,Marketing,Sales Executive,Divorced,Female,4779,8,3,2,2,7,30
Research & Development,Life Sciences,Research Director,Single,Female,16422,9,3,0,4,8,31
Research & Development,Other,Research Scientist,Divorced,Male,2996,10,4,3,1,1,34
Research & Development,Life Sciences,Research Scientist,Single,Female,1261,1,1,0,1,8,31
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2099,6,5,4,1,11,27
Research & Development,Life Sciences,Laboratory Technician,Single,Male,5810,10,10,8,2,4,36
Sales,Marketing,Sales Executive,Married,Female,5647,11,3,2,2,16,36
Research & Development,Technical Degree,Research Scientist,Married,Male,3420,17,6,2,1,1,47
Sales,Life Sciences,Sales Representative,Married,Male,4400,6,3,2,1,9,25
Research & Development,Technical Degree,Laboratory Technician,Single,Male,3500,7,6,3,1,5,37
Research & Development,Life Sciences,Research Scientist,Married,Female,2066,5,3,0,1,1,56
Research & Development,Medical,Research Director,Married,Female,17169,26,20,6,4,2,47
Sales,Medical,Sales Executive,Married,Female,4162,5,5,3,2,4,24
Sales,Marketing,Sales Executive,Married,Male,9204,7,4,3,2,7,32
Research & Development,Life Sciences,Laboratory Technician,Married,Female,3294,7,5,2,1,1,34
Research & Development,Medical,Research Scientist,Married,Male,2127,7,4,3,1,5,41
Research & Development,Other,Laboratory Technician,Divorced,Male,3975,11,8,7,2,9,40
Sales,Life Sciences,Sales Executive,Divorced,Male,10793,13,13,9,3,8,31
Sales,Marketing,Sales Executive,Divorced,Male,10096,28,7,3,3,9,46
Research & Development,Life Sciences,Laboratory Technician,Single,Female,3646,11,1,0,1,2,39
Research & Development,Life Sciences,Manufacturing Director,Single,Female,7446,10,10,7,3,1,31
Research & Development,Medical,Healthcare Representative,Divorced,Male,10851,24,7,7,3,20,45
Human Resources,Medical,Human Resources,Single,Female,2109,8,3,2,1,8,31
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3722,7,2,2,1,2,31
Research & Development,Technical Degree,Manufacturing Director,Married,Male,9380,10,3,2,3,29,45
Sales,Marketing,Sales Executive,Divorced,Male,5486,15,2,2,2,7,48
Human Resources,Technical Degree,Human Resources,Married,Female,2742,2,2,2,1,9,34
Research & Development,Medical,Research Director,Divorced,Male,13757,16,9,8,3,8,40
Sales,Medical,Sales Executive,Single,Male,8463,6,5,3,2,5,28
Research & Development,Life Sciences,Laboratory Technician,Single,Male,3162,7,5,3,1,5,44
Research & Development,Medical,Research Director,Single,Male,16598,35,9,8,4,2,53
Research & Development,Technical Degree,Healthcare Representative,Married,Male,6651,20,3,2,2,5,49
